date,time,chamber_temperature_c,d_t_m_v,wet_bulb_depression_m_v,corrected_water_potential_m_pa,intercept,slope,edbo,correction_for_d_t_m_pa,internal_battery_voltage_v,internal_battery_temperature_c,external_power_supply_present,external_power_supply_voltage_v,external_power_supply_current_m_a,diagnostic_comment,dt
2023-02-17,11:30:00,14.59,-0.28,11.44,-3.73,0.37,-4.21,0.93,-0.03,3.86,22.5,not present,0,0,NA,2023-02-17T18:30:00Z
2023-02-17,12:00:01,13.77,0.06,10.85,-3.6,0.37,-4.21,0.76,0,3.85,24.3,not present,0,0,NA,2023-02-17T19:00:01Z
2023-02-17,12:30:01,14.81,-0.26,11.52,-3.72,0.37,-4.21,1.01,-0.03,3.85,26.1,not present,0,0,NA,2023-02-17T19:30:01Z
2023-02-17,13:00:01,16.53,-0.06,11.81,-3.56,0.37,-4.21,0.44,0,3.85,27.6,not present,0,0,NA,2023-02-17T20:00:01Z
2023-02-17,13:30:01,16.66,-0.1,11.17,-3.35,0.37,-4.21,-0.47,-0.01,3.83,25.8,not present,0,0,NA,2023-02-17T20:30:01Z
2023-02-17,14:00:01,15.83,-0.08,10.8,-3.33,0.37,-4.21,0.03,-0.01,3.82,24.8,not present,0,0,NA,2023-02-17T21:00:01Z
2023-02-17,14:30:01,16.16,-0.13,11.1,-3.39,0.37,-4.21,0.26,-0.01,3.82,25,not present,0,0,NA,2023-02-17T21:30:01Z
2023-02-17,15:00:01,16,0.38,10.97,-3.3,0.37,-4.21,0.25,0.05,4.19,28.9,present,20.73,76.5,NA,2023-02-17T22:00:01Z
2023-02-17,15:30:00,16.39,-0.23,10.37,-3.15,0.37,-4.21,-0.14,-0.03,4.2,29.9,present,19.94,47.1,NA,2023-02-17T22:30:00Z
2023-02-17,16:00:00,16.16,-0.5,10.27,-3.18,0.37,-4.21,-0.15,-0.07,4.2,28.3,present,20.32,41.4,NA,2023-02-17T23:00:00Z
2023-02-17,16:30:00,15.94,-0.28,9.89,-3.06,0.37,-4.21,-0.51,-0.04,4.2,27.2,present,20.45,39.59,NA,2023-02-17T23:30:00Z
2023-02-17,17:00:00,15.2,-0.29,9.38,-2.98,0.37,-4.21,-0.61,-0.04,4.01,25,not present,0,0,NA,2023-02-18T00:00:00Z
2023-02-17,17:30:00,14.42,-0.29,8.85,-2.89,0.37,-4.21,-0.72,-0.04,3.96,23.4,not present,0,0,NA,2023-02-18T00:30:00Z
